Input Frequency,Desired Frequency,Real Frequency,D,M,F,O
100,720,720.0,5,216,0,6
100,721,721.2239583333333,12,432,47,5
100,722,722.2499999999999,5,180,36,5
100,723,723.2421875,8,289,19,5
100,724,724.2410714285713,7,253,31,5
100,725,725.2430555555555,9,326,23,5
100,726,726.2215909090909,11,399,27,5
100,727,727.2499999999999,5,181,52,5
100,728,728.2421875,8,291,19,5
100,729,729.2410714285713,7,255,15,5
100,730,730.2430555555555,9,328,39,5
100,731,731.2215909090909,11,402,11,5
100,732,732.2499999999999,5,183,4,5
100,733,733.2421875,8,293,19,5
100,734,734.2410714285713,7,256,63,5
100,735,735.2430555555555,9,330,55,5
100,736,736.2215909090909,11,404,59,5
100,737,737.2499999999999,5,184,20,5
100,738,738.2421875,8,295,19,5
100,739,739.2410714285713,7,258,47,5
100,740,740.2430555555555,9,333,7,5
100,741,741.2215909090909,11,407,43,5
100,742,742.2499999999999,5,185,36,5
100,743,743.2421875,8,297,19,5
100,744,744.2410714285713,7,260,31,5
100,745,745.2430555555555,9,335,23,5
100,746,746.2215909090909,11,410,27,5
100,747,747.2499999999999,5,186,52,5
100,748,748.2421875,8,299,19,5
100,749,749.2410714285713,7,262,15,5
100,750,750.2430555555555,9,337,39,5
100,751,751.2215909090909,11,413,11,5
100,752,752.2499999999999,5,188,4,5
100,753,753.2421875,8,301,19,5
100,754,754.2410714285713,7,263,63,5
100,755,755.2430555555555,9,339,55,5
100,756,756.2215909090909,11,415,59,5
100,757,757.2499999999999,5,189,20,5
100,758,758.2421875,8,303,19,5
100,759,759.2410714285713,7,265,47,5
100,760,760.2430555555555,9,342,7,5
100,761,761.2215909090909,11,418,43,5
100,762,762.2499999999999,5,190,36,5
100,763,763.2421875,8,305,19,5
100,764,764.2410714285713,7,267,31,5
100,765,765.2430555555555,9,344,23,5
100,766,766.2215909090909,11,421,27,5
100,767,767.2499999999999,5,191,52,5
100,768,768.2421875,8,307,19,5
100,769,769.2410714285713,7,269,15,5
100,770,770.2430555555555,9,346,39,5
100,771,771.2215909090909,11,424,11,5
100,772,772.2499999999999,5,193,4,5
100,773,773.2421875,8,309,19,5
100,774,774.2410714285713,7,270,63,5
100,775,775.2430555555555,9,348,55,5
100,776,776.2215909090909,11,426,59,5
100,777,777.2499999999999,5,194,20,5
100,778,778.2421875,8,311,19,5
100,779,779.2410714285713,7,272,47,5
100,780,780.2430555555555,9,351,7,5
100,781,781.2215909090909,11,429,43,5
100,782,782.2499999999999,5,195,36,5
100,783,783.2421875,8,313,19,5
100,784,784.2410714285713,7,274,31,5
100,785,785.2430555555555,9,353,23,5
100,786,786.2215909090909,11,432,27,5
100,787,787.2499999999999,5,196,52,5
100,788,788.2421875,8,315,19,5
100,789,789.2410714285713,7,276,15,5
100,790,790.2430555555555,9,355,39,5
100,791,791.21875,10,395,39,5
100,792,792.2499999999999,5,198,4,5
100,793,793.2421875,8,317,19,5
100,794,794.2410714285713,7,277,63,5
100,795,795.2430555555555,9,357,55,5
100,796,796.21875,10,398,7,5
100,797,797.2499999999999,5,199,20,5
100,798,798.2421875,8,319,19,5
100,799,799.2410714285713,7,279,47,5
100,800,800.2430555555555,9,360,7,5
100,801,801.21875,10,400,39,5
100,802,802.2499999999999,5,200,36,5
100,803,803.2421875,8,321,19,5
100,804,804.2410714285713,7,281,31,5
100,805,805.2430555555555,9,362,23,5
100,806,806.21875,10,403,7,5
